index,created_date,Price,below_price,Area,Adress,Bedrooms,Bathrooms,Parking_Spaces,Latitude,Longitude,Ano,Bairro,Cidade
1426,2023-02-16,3550000.0,False,157.0,"Rua Croata , Vila Ipojuca - São Paulo/SP",4.0,2.0,3.0,-23.5309118,-46.7055128,2023.0,Vila Ipojuca,São Paulo
1427,2018-07-29,0.0,False,153.0,"Avenida Parada Pinto 3558, Vila Nova Cachoeirinha - São Paulo/SP",4.0,2.0,3.0,,,2018.0,Vila Nova Cachoeirinha,São Paulo
1428,2018-03-27,12500000.0,False,375.0,"Rua Ministro Gabriel de Rezende Passos , Moema - São Paulo/SP",4.0,2.0,4.0,-23.5992123,-46.6635275,2018.0,Moema,São Paulo
1429,2018-03-27,3100000.0,False,225.0,Perdizes - São Paulo/SP,4.0,2.0,5.0,-23.53796505,-46.67124372854936,2018.0,Perdizes,São Paulo
1430,2019-05-16,1290000.0,False,227.0,"Rua Iubatinga 180/250, Vila Andrade - São Paulo/SP",4.0,2.0,6.0,-23.6281608,-46.7342014,2019.0,Vila Andrade,São Paulo
1431,2018-03-27,15929000.0,False,359.0,"Avenida Hélio Pellegrino , Vila Nova Conceição - São Paulo/SP",4.0,2.0,4.0,,,2018.0,Vila Nova Conceição,São Paulo
1432,2018-03-30,2200000.0,False,308.0,Santa Cecília - São Paulo/SP,4.0,2.0,6.0,-23.5296595,-46.65189388826502,2018.0,Santa Cecília,São Paulo
1433,2018-03-28,1800000.0,True,171.0,"Rua Canário , Moema - São Paulo/SP",4.0,2.0,4.0,-23.6049339,-46.6703916,2018.0,Moema,São Paulo
1434,2021-05-18,1450000.0,False,136.0,"Rua Malebranche 99, Jardim Vila Mariana - São Paulo/SP",4.0,2.0,4.0,-23.5931429,-46.6229302,2021.0,Jardim Vila Mariana,São Paulo
1435,2018-03-27,1800000.0,False,181.0,"Rua Castro Alves 654, Aclimação - São Paulo/SP",4.0,3.0,1.0,-23.57071429078101,-46.63518623927005,2018.0,Aclimação,São Paulo
1436,2018-03-27,1550000.0,False,140.0,"Alameda Jaú 1866, Jardim Paulista - São Paulo/SP",4.0,3.0,1.0,-23.55774915,-46.6640738,2018.0,Jardim Paulista,São Paulo
1438,2018-03-27,570000.0,False,84.0,"Rua Bento Araújo , Barro Branco (Zona Norte) - São Paulo/SP",4.0,3.0,1.0,,,2018.0,Barro Branco (Zona Norte),São Paulo
1439,2018-03-27,989999.0,False,104.0,"Avenida da França 440, Comércio - Salvador/BA",4.0,3.0,1.0,-12.9606591,-38.50606,2018.0,Comércio,Salvador
1440,2023-07-24,700000.0,False,96.0,"Praça Santa Cruz 1208, Santo Amaro - São Paulo/SP",4.0,3.0,1.0,-23.6486864,-46.7026354,2023.0,Santo Amaro,São Paulo
1441,2018-03-30,1549970.0,False,177.0,"Rua Treze de Maio 1618, Bela Vista - São Paulo/SP",4.0,3.0,1.0,-23.567582729406915,-46.64443207918976,2018.0,Bela Vista,São Paulo
